,,,
,,,
,위도,경도,층
1공학관,37.396486,127.248024,1
1공학관-후문,37.396381,127.248395,1
대학본부,37.396424,127.248483,1
대학본부-1층,37.396424,127.248483,1
대학본부-2층,37.396424,127.248483,1
대학본부-3층,37.396424,127.248483,1
대학본부-4층,37.396424,127.248483,1
대학본부-5층,37.396424,127.248483,1
1생활관,37.396655,127.247471,1
2생활관,37.396684,127.247426,1
학생회관,37.396998,127.247604,1
학생회관-식당-정문,37.396887,127.247667,1
학생회관-엘리베이터,37.397108,127.247775,1
2공학관,37.397276,127.248276,1
2공학관-후문,37.397405,127.248261,1
1107호,37.396445,127.247779,1
1106호,37.396430,127.247859,1
1105호,37.396415,127.247939,1
1104호,37.396400,127.248019,1
1103호,37.396385,127.248099,1
1102호,37.396370,127.248179,1
1101호,37.396355,127.248259,1
1207호,37.396445,127.247779,2
1206호,37.396430,127.247859,2
1205호,37.396415,127.247939,2
1204호,37.396400,127.248019,2
1203호,37.396385,127.248099,2
1202호,37.396370,127.248179,2
1201호,37.396355,127.248259,2
1307호,37.396445,127.247779,3
1206호,37.396430,127.247859,3
1305호,37.396415,127.247939,3
1304호,37.396400,127.248019,3
1303호,37.396385,127.248099,3
1302호,37.396370,127.248179,3
1301호,37.396355,127.248259,3
1407호,37.396445,127.247779,4
1406호,37.396430,127.247859,4
1405호,37.396415,127.247939,4
1404호,37.396400,127.248019,4
1403호,37.396385,127.248099,4
1402호,37.396370,127.248179,4
1401호,37.396355,127.248259,4
1503호,37.396385,127.248099,5
1502호,37.396370,127.248179,5
1501호,37.396355,127.248259,5
1층 실습실,37.396479,127.247681,1
2층 실습실,37.396479,127.247681,2
3층 실습실,37.396479,127.247681,3
4층 실습실,37.396479,127.247681,4
5층 실습실,37.396479,127.247681,5
2층 교수실,37.396363,127.248484,2
3층 교수실,37.396363,127.248484,3
4층 교수실,37.396363,127.248484,4
5층 교수실,37.396363,127.248484,5
강당,37.396463,127.247815,5
휴게실,37.396529,127.247693,1
북카페,37.396538,127.247654,1
2101호,37.397342,127.248184,1
2102호,37.397321,127.248326,1
2201호,37.397342,127.248184,2
2202호,37.397321,127.248326,2
2301호,37.397342,127.248184,3
2302호,37.397321,127.248326,3
2401호,37.397342,127.248184,4
2403호,37.397321,127.248326,4
정보처리실,37.397304,127.248242,4
2501호,37.397342,127.248184,5
2503호,37.397321,127.248326,5
산학협력관,37.397241,127.247470,1
산학협력관 사감실,37.397226,127.248566,1
1층 보건실,37.396813,127.247451,1
옥상,37.396434,127.248262,5
정보검색실,37.396971,127.247723,5
산학협력관 소강의실,37.397006,127.248379,1
산학협력관 대강의실,37.397006,127.248379,1
산학협력팀,37.397316,127.248525,1
학사운영팀,37.396354,127.248497,1
공용교수실,37.396354,127.248484,0
학과사무실,37.396354,127.248484,0
산학협력처장실,37.397297,127.248543,1
대학본부 방송실,37.396332,127.248591,1
